metric,year,value
"- Total Export Turnover Goods, Gross",2014,None
"- Total Export Turnover Goods, Gross",2015,None
"- Total Export Turnover Goods, Gross",2016,None
"- Total Export Turnover Goods, Gross",2017,None
"- Total Export Turnover Goods, Gross",2018,None
"- Total Export Turnover Goods, Gross",2019,None
"- Total Export Turnover Goods, Gross",2020,None
"- Total Export Turnover Goods, Gross",2021,None
"- Total Export Turnover Goods, Gross",2022,None
"- Total Export Turnover Goods, Gross",2023,None
"- Total Export Turnover Goods, Gross",2024,None
"- Total Export Turnover Goods, Gross",2025,None
- Export Sale Traded Goods,2014,None
- Export Sale Traded Goods,2015,None
- Export Sale Traded Goods,2016,None
- Export Sale Traded Goods,2017,None
- Export Sale Traded Goods,2018,None
- Export Sale Traded Goods,2019,None
- Export Sale Traded Goods,2020,None
- Export Sale Traded Goods,2021,None
- Export Sale Traded Goods,2022,None
- Export Sale Traded Goods,2023,None
- Export Sale Traded Goods,2024,None
- Export Sale Traded Goods,2025,None
- Export Sale Manufactured Goods,2014,None
- Export Sale Manufactured Goods,2015,None
- Export Sale Manufactured Goods,2016,None
- Export Sale Manufactured Goods,2017,None
- Export Sale Manufactured Goods,2018,None
- Export Sale Manufactured Goods,2019,None
- Export Sale Manufactured Goods,2020,None
- Export Sale Manufactured Goods,2021,None
- Export Sale Manufactured Goods,2022,None
- Export Sale Manufactured Goods,2023,None
- Export Sale Manufactured Goods,2024,None
- Export Sale Manufactured Goods,2025,None
"- Total Domestic Turnover Goods, Gross",2014,None
"- Total Domestic Turnover Goods, Gross",2015,None
"- Total Domestic Turnover Goods, Gross",2016,None
"- Total Domestic Turnover Goods, Gross",2017,None
"- Total Domestic Turnover Goods, Gross",2018,None
"- Total Domestic Turnover Goods, Gross",2019,None
"- Total Domestic Turnover Goods, Gross",2020,None
"- Total Domestic Turnover Goods, Gross",2021,None
"- Total Domestic Turnover Goods, Gross",2022,None
"- Total Domestic Turnover Goods, Gross",2023,None
"- Total Domestic Turnover Goods, Gross",2024,None
"- Total Domestic Turnover Goods, Gross",2025,None
- Domestic Sale Traded Goods,2014,None
- Domestic Sale Traded Goods,2015,None
- Domestic Sale Traded Goods,2016,None
- Domestic Sale Traded Goods,2017,None
- Domestic Sale Traded Goods,2018,None
- Domestic Sale Traded Goods,2019,None
- Domestic Sale Traded Goods,2020,None
- Domestic Sale Traded Goods,2021,None
- Domestic Sale Traded Goods,2022,None
- Domestic Sale Traded Goods,2023,None
- Domestic Sale Traded Goods,2024,None
- Domestic Sale Traded Goods,2025,None
- Domestic Sale Manufactured Goods,2014,None
- Domestic Sale Manufactured Goods,2015,None
- Domestic Sale Manufactured Goods,2016,None
- Domestic Sale Manufactured Goods,2017,None
- Domestic Sale Manufactured Goods,2018,None
- Domestic Sale Manufactured Goods,2019,None
- Domestic Sale Manufactured Goods,2020,None
- Domestic Sale Manufactured Goods,2021,None
- Domestic Sale Manufactured Goods,2022,None
- Domestic Sale Manufactured Goods,2023,None
- Domestic Sale Manufactured Goods,2024,None
- Domestic Sale Manufactured Goods,2025,None
- Material Costs,2014,None
- Material Costs,2015,None
- Material Costs,2016,None
- Material Costs,2017,None
- Material Costs,2018,None
- Material Costs,2019,None
- Material Costs,2020,None
- Material Costs,2021,None
- Material Costs,2022,None
- Material Costs,2023,None
- Material Costs,2024,None
- Material Costs,2025,None
- Cost of material consumed,2014,None
- Cost of material consumed,2015,None
- Cost of material consumed,2016,None
- Cost of material consumed,2017,None
- Cost of material consumed,2018,None
- Cost of material consumed,2019,None
- Cost of material consumed,2020,None
- Cost of material consumed,2021,None
- Cost of material consumed,2022,None
- Cost of material consumed,2023,None
- Cost of material consumed,2024,None
- Cost of material consumed,2025,None
- Purchases of stock-in-trade,2014,None
- Purchases of stock-in-trade,2015,None
- Purchases of stock-in-trade,2016,None
- Purchases of stock-in-trade,2017,None
- Purchases of stock-in-trade,2018,None
- Purchases of stock-in-trade,2019,None
- Purchases of stock-in-trade,2020,None
- Purchases of stock-in-trade,2021,None
- Purchases of stock-in-trade,2022,None
- Purchases of stock-in-trade,2023,38.2
- Purchases of stock-in-trade,2024,210.6
- Purchases of stock-in-trade,2025,222.7
"- Changes in inventories of FG, WIP and SIT",2014,None
"- Changes in inventories of FG, WIP and SIT",2015,None
"- Changes in inventories of FG, WIP and SIT",2016,None
"- Changes in inventories of FG, WIP and SIT",2017,None
"- Changes in inventories of FG, WIP and SIT",2018,None
"- Changes in inventories of FG, WIP and SIT",2019,None
"- Changes in inventories of FG, WIP and SIT",2020,None
"- Changes in inventories of FG, WIP and SIT",2021,None
"- Changes in inventories of FG, WIP and SIT",2022,-1.2
"- Changes in inventories of FG, WIP and SIT",2023,-19.1
"- Changes in inventories of FG, WIP and SIT",2024,-23.6
"- Changes in inventories of FG, WIP and SIT",2025,-29.9
- Material Margin,2014,None
- Material Margin,2015,None
- Material Margin,2016,None
- Material Margin,2017,None
- Material Margin,2018,None
- Material Margin,2019,None
- Material Margin,2020,None
- Material Margin,2021,None
- Material Margin,2022,None
- Material Margin,2023,None
- Material Margin,2024,None
- Material Margin,2025,None
- EBIT,2014,None
- EBIT,2015,None
- EBIT,2016,None
- EBIT,2017,None
- EBIT,2018,None
- EBIT,2019,None
- EBIT,2020,None
- EBIT,2021,None
- EBIT,2022,12.3
- EBIT,2023,22.100000000000016
- EBIT,2024,55.29999999999993
- EBIT,2025,252.8
- Finance Cost,2014,None
- Finance Cost,2015,None
- Finance Cost,2016,None
- Finance Cost,2017,None
- Finance Cost,2018,None
- Finance Cost,2019,None
- Finance Cost,2020,None
- Finance Cost,2021,None
- Finance Cost,2022,0.3
- Finance Cost,2023,0.4
- Finance Cost,2024,0.6
- Finance Cost,2025,1.3
- Equities,2014,None
- Equities,2015,None
- Equities,2016,None
- Equities,2017,None
- Equities,2018,None
- Equities,2019,None
- Equities,2020,None
- Equities,2021,None
- Equities,2022,None
- Equities,2023,None
- Equities,2024,None
- Equities,2025,None
- Share Capital,2014,None
- Share Capital,2015,None
- Share Capital,2016,None
- Share Capital,2017,None
- Share Capital,2018,None
- Share Capital,2019,None
- Share Capital,2020,None
- Share Capital,2021,None
- Share Capital,2022,5
- Share Capital,2023,5
- Share Capital,2024,5
- Share Capital,2025,140
- Long Term Provisions,2014,None
- Long Term Provisions,2015,None
- Long Term Provisions,2016,None
- Long Term Provisions,2017,None
- Long Term Provisions,2018,None
- Long Term Provisions,2019,None
- Long Term Provisions,2020,None
- Long Term Provisions,2021,None
- Long Term Provisions,2022,None
- Long Term Provisions,2023,None
- Long Term Provisions,2024,1.1
- Long Term Provisions,2025,1.6
- Sources of Funds,2014,None
- Sources of Funds,2015,None
- Sources of Funds,2016,None
- Sources of Funds,2017,None
- Sources of Funds,2018,None
- Sources of Funds,2019,None
- Sources of Funds,2020,None
- Sources of Funds,2021,None
- Sources of Funds,2022,None
- Sources of Funds,2023,None
- Sources of Funds,2024,None
- Sources of Funds,2025,None
- Accumulated depreciation and impairment,2014,None
- Accumulated depreciation and impairment,2015,None
- Accumulated depreciation and impairment,2016,None
- Accumulated depreciation and impairment,2017,None
- Accumulated depreciation and impairment,2018,None
- Accumulated depreciation and impairment,2019,None
- Accumulated depreciation and impairment,2020,None
- Accumulated depreciation and impairment,2021,None
