metric,year,value
- Revenue From Operations,2014,2054.23131
- Revenue From Operations,2015,2408.02796
- Revenue From Operations,2016,2309.36784
- Revenue From Operations,2017,2521.153
- Revenue From Operations,2018,2653.617
- Revenue From Operations,2019,2863.526
- Revenue From Operations,2020,2009.485
- Revenue From Operations,2021,1807.836
- Revenue From Operations,2022,2465.021
- Revenue From Operations,2023,2658.401
- Revenue From Operations,2024,2367.865
- Revenue From Operations,2025,2366.5
- Revenue From Sale of Products,2014,2231.84961
- Revenue From Sale of Products,2015,2654.32219
- Revenue From Sale of Products,2016,2520.80847
- Revenue From Sale of Products,2017,2521.153
- Revenue From Sale of Products,2018,2653.617
- Revenue From Sale of Products,2019,2863.526
- Revenue From Sale of Products,2020,1992.627
- Revenue From Sale of Products,2021,1800.469
- Revenue From Sale of Products,2022,2458.617
- Revenue From Sale of Products,2023,2648.123
- Revenue From Sale of Products,2024,2360.099
- Revenue From Sale of Products,2025,2366.5
- Revenue From Sale of Services,2014,None
- Revenue From Sale of Services,2015,None
- Revenue From Sale of Services,2016,None
- Revenue From Sale of Services,2017,None
- Revenue From Sale of Services,2018,None
- Revenue From Sale of Services,2019,None
- Revenue From Sale of Services,2020,6.945
- Revenue From Sale of Services,2021,0.343
- Revenue From Sale of Services,2022,None
- Revenue From Sale of Services,2023,None
- Revenue From Sale of Services,2024,None
- Revenue From Sale of Services,2025,None
- Export Revenue Services,2014,None
- Export Revenue Services,2015,None
- Export Revenue Services,2016,None
- Export Revenue Services,2017,None
- Export Revenue Services,2018,None
- Export Revenue Services,2019,None
- Export Revenue Services,2020,None
- Export Revenue Services,2021,None
- Export Revenue Services,2022,None
- Export Revenue Services,2023,None
- Export Revenue Services,2024,None
- Export Revenue Services,2025,None
- Domestic Revenue Services,2014,None
- Domestic Revenue Services,2015,None
- Domestic Revenue Services,2016,None
- Domestic Revenue Services,2017,None
- Domestic Revenue Services,2018,None
- Domestic Revenue Services,2019,None
- Domestic Revenue Services,2020,None
- Domestic Revenue Services,2021,None
- Domestic Revenue Services,2022,None
- Domestic Revenue Services,2023,None
- Domestic Revenue Services,2024,None
- Domestic Revenue Services,2025,None
- Employee Benefit Expense,2014,217.62947
- Employee Benefit Expense,2015,277.15878
- Employee Benefit Expense,2016,280.97082
- Employee Benefit Expense,2017,319.038
- Employee Benefit Expense,2018,292.231
- Employee Benefit Expense,2019,364.047
- Employee Benefit Expense,2020,307.623
- Employee Benefit Expense,2021,263.815
- Employee Benefit Expense,2022,352.389
- Employee Benefit Expense,2023,367.892
- Employee Benefit Expense,2024,383.665
- Employee Benefit Expense,2025,397.2
- Other Total Expenses,2014,None
- Other Total Expenses,2015,None
- Other Total Expenses,2016,None
- Other Total Expenses,2017,None
- Other Total Expenses,2018,None
- Other Total Expenses,2019,None
- Other Total Expenses,2020,None
- Other Total Expenses,2021,None
- Other Total Expenses,2022,None
- Other Total Expenses,2023,None
- Other Total Expenses,2024,None
- Other Total Expenses,2025,None
- Operating EBITDA,2014,235.6166299999999
- Operating EBITDA,2015,143.02427000000037
- Operating EBITDA,2016,157.97719000000038
- Operating EBITDA,2017,148.2570000000001
- Operating EBITDA,2018,214.96799999999962
- Operating EBITDA,2019,257.88599999999974
- Operating EBITDA,2020,83.93299999999985
- Operating EBITDA,2021,120.71200000000006
- Operating EBITDA,2022,186.743
- Operating EBITDA,2023,106.70699999999981
- Operating EBITDA,2024,138.568
- Operating EBITDA,2025,240.00000000000026
"- Total depreciation, depletion and amortisation expense",2014,134.88073
"- Total depreciation, depletion and amortisation expense",2015,131.05228
"- Total depreciation, depletion and amortisation expense",2016,116.70585
"- Total depreciation, depletion and amortisation expense",2017,104.106
"- Total depreciation, depletion and amortisation expense",2018,129.468
"- Total depreciation, depletion and amortisation expense",2019,150.376
"- Total depreciation, depletion and amortisation expense",2020,138.88
"- Total depreciation, depletion and amortisation expense",2021,128.236
"- Total depreciation, depletion and amortisation expense",2022,123.424
