metric,year,value
"- Total Export Turnover Goods, Gross",2014,None
"- Total Export Turnover Goods, Gross",2015,None
"- Total Export Turnover Goods, Gross",2016,None
"- Total Export Turnover Goods, Gross",2017,None
"- Total Export Turnover Goods, Gross",2018,None
"- Total Export Turnover Goods, Gross",2019,None
"- Total Export Turnover Goods, Gross",2020,None
"- Total Export Turnover Goods, Gross",2021,None
"- Total Export Turnover Goods, Gross",2022,None
"- Total Export Turnover Goods, Gross",2023,None
"- Total Export Turnover Goods, Gross",2024,None
"- Total Export Turnover Goods, Gross",2025,None
- Export Sale Traded Goods,2014,None
- Export Sale Traded Goods,2015,None
- Export Sale Traded Goods,2016,None
- Export Sale Traded Goods,2017,None
- Export Sale Traded Goods,2018,None
- Export Sale Traded Goods,2019,None
- Export Sale Traded Goods,2020,None
- Export Sale Traded Goods,2021,None
- Export Sale Traded Goods,2022,None
- Export Sale Traded Goods,2023,None
- Export Sale Traded Goods,2024,None
- Export Sale Traded Goods,2025,None
- Export Sale Manufactured Goods,2014,None
- Export Sale Manufactured Goods,2015,None
- Export Sale Manufactured Goods,2016,None
- Export Sale Manufactured Goods,2017,None
- Export Sale Manufactured Goods,2018,None
- Export Sale Manufactured Goods,2019,None
- Export Sale Manufactured Goods,2020,None
- Export Sale Manufactured Goods,2021,None
- Export Sale Manufactured Goods,2022,None
- Export Sale Manufactured Goods,2023,None
- Export Sale Manufactured Goods,2024,None
- Export Sale Manufactured Goods,2025,None
"- Total Domestic Turnover Goods, Gross",2014,None
"- Total Domestic Turnover Goods, Gross",2015,None
"- Total Domestic Turnover Goods, Gross",2016,None
"- Total Domestic Turnover Goods, Gross",2017,None
"- Total Domestic Turnover Goods, Gross",2018,None
"- Total Domestic Turnover Goods, Gross",2019,None
"- Total Domestic Turnover Goods, Gross",2020,None
"- Total Domestic Turnover Goods, Gross",2021,None
"- Total Domestic Turnover Goods, Gross",2022,None
"- Total Domestic Turnover Goods, Gross",2023,None
"- Total Domestic Turnover Goods, Gross",2024,None
"- Total Domestic Turnover Goods, Gross",2025,None
- Domestic Sale Traded Goods,2014,None
- Domestic Sale Traded Goods,2015,None
- Domestic Sale Traded Goods,2016,None
- Domestic Sale Traded Goods,2017,None
- Domestic Sale Traded Goods,2018,None
- Domestic Sale Traded Goods,2019,None
- Domestic Sale Traded Goods,2020,None
- Domestic Sale Traded Goods,2021,None
- Domestic Sale Traded Goods,2022,None
- Domestic Sale Traded Goods,2023,None
- Domestic Sale Traded Goods,2024,None
- Domestic Sale Traded Goods,2025,None
- Domestic Sale Manufactured Goods,2014,None
- Domestic Sale Manufactured Goods,2015,None
- Domestic Sale Manufactured Goods,2016,None
- Domestic Sale Manufactured Goods,2017,None
- Domestic Sale Manufactured Goods,2018,None
- Domestic Sale Manufactured Goods,2019,None
- Domestic Sale Manufactured Goods,2020,None
- Domestic Sale Manufactured Goods,2021,None
- Domestic Sale Manufactured Goods,2022,None
- Domestic Sale Manufactured Goods,2023,None
- Domestic Sale Manufactured Goods,2024,None
- Domestic Sale Manufactured Goods,2025,None
- Material Costs,2014,None
- Material Costs,2015,None
- Material Costs,2016,None
- Material Costs,2017,None
- Material Costs,2018,None
- Material Costs,2019,None
- Material Costs,2020,None
- Material Costs,2021,None
- Material Costs,2022,None
- Material Costs,2023,None
- Material Costs,2024,None
- Material Costs,2025,None
- Cost of material consumed,2014,1036.85
- Cost of material consumed,2015,1297.25298
- Cost of material consumed,2016,1154.86741
- Cost of material consumed,2017,1143.729
- Cost of material consumed,2018,1297.991
- Cost of material consumed,2019,1482.246
- Cost of material consumed,2020,1013.596
- Cost of material consumed,2021,923.211
- Cost of material consumed,2022,1310.646
- Cost of material consumed,2023,1607.108
- Cost of material consumed,2024,1020.476
- Cost of material consumed,2025,1299.6
- Purchases of stock-in-trade,2014,None
- Purchases of stock-in-trade,2015,None
- Purchases of stock-in-trade,2016,None
- Purchases of stock-in-trade,2017,None
- Purchases of stock-in-trade,2018,None
- Purchases of stock-in-trade,2019,None
- Purchases of stock-in-trade,2020,None
- Purchases of stock-in-trade,2021,None
- Purchases of stock-in-trade,2022,None
- Purchases of stock-in-trade,2023,None
- Purchases of stock-in-trade,2024,None
- Purchases of stock-in-trade,2025,None
"- Changes in inventories of FG, WIP and SIT",2014,0.42918
"- Changes in inventories of FG, WIP and SIT",2015,3.32326
"- Changes in inventories of FG, WIP and SIT",2016,0.02109
"- Changes in inventories of FG, WIP and SIT",2017,-82.759
"- Changes in inventories of FG, WIP and SIT",2018,-12.037
"- Changes in inventories of FG, WIP and SIT",2019,-32.705
"- Changes in inventories of FG, WIP and SIT",2020,22.537
"- Changes in inventories of FG, WIP and SIT",2021,1.76
"- Changes in inventories of FG, WIP and SIT",2022,14.479
"- Changes in inventories of FG, WIP and SIT",2023,-86.614
"- Changes in inventories of FG, WIP and SIT",2024,116.562
"- Changes in inventories of FG, WIP and SIT",2025,-54.9
- Material Margin,2014,None
- Material Margin,2015,None
- Material Margin,2016,None
- Material Margin,2017,None
- Material Margin,2018,None
- Material Margin,2019,None
- Material Margin,2020,None
- Material Margin,2021,None
- Material Margin,2022,None
- Material Margin,2023,None
- Material Margin,2024,None
- Material Margin,2025,None
- EBIT,2014,124.17725999999989
- EBIT,2015,32.617760000000374
- EBIT,2016,69.55967000000037
- EBIT,2017,89.7660000000001
- EBIT,2018,155.32199999999966
- EBIT,2019,172.23099999999977
- EBIT,2020,-27.547000000000146
- EBIT,2021,7.2820000000000675
- EBIT,2022,76.482
- EBIT,2023,64.66599999999983
- EBIT,2024,115.168
- EBIT,2025,179.20000000000027
- Finance Cost,2014,52.6049
- Finance Cost,2015,62.41582
- Finance Cost,2016,49.17698
- Finance Cost,2017,37.761
- Finance Cost,2018,63.375
- Finance Cost,2019,75.884
- Finance Cost,2020,53.745
- Finance Cost,2021,28.006
- Finance Cost,2022,36.27
- Finance Cost,2023,33.716
- Finance Cost,2024,58.976
- Finance Cost,2025,70.5
- Equities,2014,None
- Equities,2015,None
- Equities,2016,None
- Equities,2017,None
- Equities,2018,None
- Equities,2019,None
- Equities,2020,None
- Equities,2021,None
- Equities,2022,None
- Equities,2023,None
- Equities,2024,None
- Equities,2025,None
- Share Capital,2014,36.39
- Share Capital,2015,36.39
- Share Capital,2016,36.39
- Share Capital,2017,36.39
- Share Capital,2018,36.39
- Share Capital,2019,36.39
- Share Capital,2020,36.39
- Share Capital,2021,36.39
- Share Capital,2022,36.39
- Share Capital,2023,36.39
- Share Capital,2024,36.39
- Share Capital,2025,36.4
- Long Term Provisions,2014,None
- Long Term Provisions,2015,27.7342
- Long Term Provisions,2016,None
- Long Term Provisions,2017,33.439
- Long Term Provisions,2018,24.979
- Long Term Provisions,2019,37.623
- Long Term Provisions,2020,52.038
- Long Term Provisions,2021,62.95
- Long Term Provisions,2022,64.722
- Long Term Provisions,2023,66.109
- Long Term Provisions,2024,77.288
- Long Term Provisions,2025,77.7
- Sources of Funds,2014,None
- Sources of Funds,2015,None
- Sources of Funds,2016,None
- Sources of Funds,2017,None
- Sources of Funds,2018,None
- Sources of Funds,2019,None
- Sources of Funds,2020,None
- Sources of Funds,2021,None
- Sources of Funds,2022,None
- Sources of Funds,2023,None
- Sources of Funds,2024,None
